Date,Open,High,Low,Close,Adj Close,Volume
2011-08-08,106.019997,109.000000,100.919998,108.040001,87.395782,2999700
2011-08-15,109.099998,110.800003,102.839996,102.900002,83.237946,2612700
2011-08-22,105.320000,109.180000,102.779999,107.779999,87.185432,1191000
2011-08-29,109.339996,112.900002,107.400002,107.739998,87.153107,929100
2011-09-05,104.720001,110.580002,104.639999,106.000000,85.745590,687500
2011-09-12,104.699997,112.059998,104.360001,111.699997,90.356422,1021550
2011-09-19,109.860001,112.139999,102.379997,103.680000,83.868874,1125400
2011-09-26,104.720001,109.279999,103.320000,103.519997,84.210091,1311300
2011-10-03,102.820000,107.160004,98.239998,105.779999,86.048508,2110700
2011-10-10,107.739998,112.059998,107.660004,111.980003,91.091995,2128000
2011-10-17,111.480003,113.419998,109.000000,113.320000,92.182060,832050
2011-10-24,113.559998,118.300003,111.800003,117.660004,95.712509,3166000
2011-10-31,116.260002,116.339996,111.160004,114.800003,93.385979,904350
2011-11-07,114.639999,117.019997,112.400002,115.860001,94.248276,716500
2011-11-14,115.419998,115.919998,110.919998,111.500000,90.701546,2031750
2011-11-21,109.900002,110.059998,106.300003,106.300003,86.471542,824750
2011-11-28,109.260002,115.680000,108.639999,114.160004,92.865395,949600
2011-12-05,116.000000,116.320000,113.080002,115.300003,93.792717,1324350
2011-12-12,114.279999,114.760002,111.099998,111.800003,90.945587,2797700
2011-12-19,112.279999,115.680000,110.440002,115.599998,94.036781,2476900
2011-12-26,115.379997,118.160004,114.099998,114.900002,94.026367,1082350
2012-01-02,116.900002,117.459999,115.680000,116.940002,95.695747,1032100
2012-01-09,117.139999,118.639999,116.540001,118.000000,96.563202,991450
2012-01-16,118.980003,120.339996,118.059998,120.279999,98.429008,1066050
2012-01-23,120.279999,122.000000,119.480003,120.500000,98.609032,829800
2012-01-30,119.400002,123.139999,118.980003,123.139999,100.769432,952350
2012-02-06,122.580002,124.019997,122.279999,122.900002,100.573029,956700
2012-02-13,123.779999,124.919998,122.860001,124.760002,102.095123,1664650
2012-02-20,125.099998,125.500000,123.959999,125.199997,102.455185,1440100
2012-02-27,124.440002,126.400002,124.220001,125.660004,102.831612,975550
2012-03-05,125.419998,126.139999,122.900002,125.820000,102.962563,1655900
2012-03-12,125.860001,129.100006,125.419998,128.880005,105.466675,1850650
2012-03-19,128.880005,129.839996,127.320000,128.360001,105.041130,2361550
2012-03-26,128.679993,129.779999,127.260002,128.740005,105.352097,3860700
2012-04-02,128.740005,130.119995,127.400002,127.879997,105.115089,1813900
2012-04-09,126.300003,127.059998,124.220001,125.480003,103.142349,3562750
2012-04-16,126.160004,127.519997,124.940002,126.199997,103.734184,2688350
2012-04-23,124.940002,128.820007,124.400002,128.479996,105.608292,1308150
2012-04-30,128.220001,129.600006,125.300003,125.339996,103.027237,1471500
2012-05-07,124.900002,125.860001,123.040001,124.019997,101.942253,2262500
2012-05-14,122.860001,123.540001,118.559998,118.720001,97.585732,3866200
2012-05-21,119.040001,121.879997,118.900002,120.919998,99.394127,1550450
2012-05-28,121.879997,122.540001,117.239998,117.300003,96.418549,2182100
2012-06-04,117.440002,122.160004,116.339996,121.739998,100.068146,1141150
2012-06-11,122.800003,123.440002,120.000000,123.279999,101.333992,3028400
2012-06-18,122.879997,125.300003,121.720001,122.739998,100.890121,1334600
2012-06-25,120.839996,124.620003,119.720001,124.559998,102.386116,1413800
2012-07-02,124.900002,125.800003,123.360001,124.019997,102.476593,1207000
2012-07-09,123.940002,124.599998,121.320000,124.180000,102.608810,1613150
2012-07-16,123.900002,126.400002,123.120003,124.839996,103.154160,1824150
2012-07-23,123.019997,127.239998,121.720001,126.940002,104.889374,2808650
2012-07-30,126.760002,127.739998,124.080002,127.480003,105.335571,2274300
2012-08-06,127.879997,128.940002,127.720001,128.880005,106.492378,1946500
2012-08-13,128.660004,130.220001,128.139999,130.160004,107.550011,1987600
2012-08-20,129.979996,130.940002,128.339996,129.520004,107.021217,1513150
2012-08-27,129.860001,130.000000,128.300003,129.220001,106.773308,1546300
2012-09-03,129.139999,132.100006,128.240005,132.100006,109.153030,1539250
2012-09-10,131.979996,135.580002,131.279999,134.759995,111.350983,2017400
2012-09-17,134.500000,134.960007,133.300003,134.220001,110.904770,2696400
2012-09-24,132.899994,133.880005,130.860001,131.839996,108.938202,1804050
2012-10-01,132.300003,134.720001,131.699997,133.779999,111.109070,1393500
2012-10-08,133.320007,133.539993,130.539993,130.800003,108.634056,1731100
2012-10-15,131.119995,134.139999,130.720001,131.240005,108.999527,1929600
2012-10-22,131.080002,131.500000,128.539993,129.380005,107.454727,2180750
2012-10-29,129.940002,131.580002,128.800003,129.600006,107.637444,1807050
2012-11-05,129.399994,131.360001,125.919998,126.440002,105.012955,3538200
2012-11-12,126.879997,127.459999,123.379997,124.779999,103.634262,1977350
2012-11-19,126.260002,129.440002,126.199997,129.360001,107.438126,1029550
2012-11-26,128.800003,130.520004,127.279999,130.000000,107.969666,1625700
2012-12-03,130.740005,130.820007,128.559998,130.380005,108.285255,1322850
2012-12-10,130.240005,132.360001,129.919998,130.179993,108.119148,1843150
2012-12-17,130.440002,133.320007,130.440002,131.679993,109.364967,5391950
